TOWER_ID,UPGRADE_TIER,CAPACITY_INCREASE_GBPS,COST_USD,INSTALL_WEEKS
TWR-0240,SILVER,5,175919,6
TWR-0240,GOLD,8,309816,16
TWR-0241,BRONZE,2,118681,3
TWR-0241,SILVER,5,145516,7
TWR-0241,GOLD,8,508328,10
TWR-0242,BRONZE,3,81068,2
TWR-0242,SILVER,7,132237,7
TWR-0242,GOLD,10,359572,16
TWR-0243,BRONZE,2,69520,4
TWR-0243,SILVER,6,203021,7
TWR-0243,GOLD,12,474382,8
TWR-0244,BRONZE,4,79457,5
TWR-0244,SILVER,5,219088,8
TWR-0244,GOLD,12,440478,13
TWR-0245,BRONZE,2,92111,3
TWR-0245,SILVER,5,271786,6
TWR-0245,GOLD,11,299878,10
TWR-0246,BRONZE,4,115590,2
TWR-0246,SILVER,7,176050,5
TWR-0246,GOLD,12,412942,15
TWR-0247,BRONZE,2,103037,3
TWR-0247,SILVER,7,228356,4
TWR-0247,GOLD,12,356286,11
TWR-0248,BRONZE,4,111390,5
TWR-0248,SILVER,6,182508,8
TWR-0248,GOLD,9,437923,10
TWR-0249,BRONZE,2,88365,5
TWR-0249,SILVER,5,238946,4
TWR-0249,GOLD,11,379872,8
TWR-0250,BRONZE,3,66744,4
TWR-0250,SILVER,5,181443,5
TWR-0250,GOLD,9,291799,10
