TOWER_ID,TOWER_NAME,POSTAL_CODE,LATITUDE,LONGITUDE,TOWER_TYPE,CAPACITY_GBPS,INSTALL_DATE,STATUS,REGION
TWR-0233,NexusStream-gate-233,94108,37.760213,-122.637234,MICRO,89,2021-11-14,ACTIVE,CENTRAL
TWR-0234,NexusStream-borough-234,94126,37.873151,-122.11339,SMALL_CELL,76,2021-02-13,ACTIVE,WEST
TWR-0235,NexusStream-view-235,94126,37.904297,-122.322094,MACRO,74,2023-08-11,ACTIVE,WEST
TWR-0236,NexusStream-wood-236,94131,37.685208,-122.364102,SMALL_CELL,58,2022-11-29,ACTIVE,EAST
TWR-0237,NexusStream-ton-237,94113,37.789596,-122.61517,MACRO,73,2022-11-21,ACTIVE,SOUTH
TWR-0238,NexusStream-stead-238,94144,37.840733,-122.146087,SMALL_CELL,96,2021-12-16,MAINTENANCE,WEST
TWR-0239,NexusStream-gate-239,94102,37.580945,-122.042493,SMALL_CELL,33,2021-08-31,ACTIVE,SOUTH
TWR-0240,NexusStream-park-240,94127,37.565979,-122.637595,MACRO,32,2023-09-27,ACTIVE,CENTRAL
TWR-0241,NexusStream-haven-241,94119,37.833461,-122.449793,MICRO,55,2024-02-05,MAINTENANCE,CENTRAL
TWR-0242,NexusStream-creek-242,94129,37.815353,-122.103467,SMALL_CELL,90,2024-07-26,ACTIVE,SOUTH
TWR-0243,NexusStream-borough-243,94121,37.805134,-122.062815,MICRO,23,2021-08-28,ACTIVE,WEST
TWR-0244,NexusStream-burn-244,94148,37.844923,-122.683494,MICRO,52,2021-05-13,ACTIVE,NORTH
TWR-0245,NexusStream-hill-245,94110,37.642777,-122.478025,MICRO,43,2023-06-01,ACTIVE,WEST
TWR-0246,NexusStream-bridge-246,94137,37.907935,-122.618447,MICRO,91,2024-07-31,ACTIVE,CENTRAL
TWR-0247,NexusStream-mont-247,94121,37.740971,-122.319635,MICRO,71,2022-07-13,MAINTENANCE,WEST
TWR-0248,NexusStream-cross-248,94122,37.834104,-122.094491,SMALL_CELL,57,2024-03-03,MAINTENANCE,SOUTH
TWR-0249,NexusStream-ford-249,94118,37.714086,-122.500284,MACRO,50,2023-06-26,MAINTENANCE,WEST
TWR-0250,NexusStream-wick-250,94126,37.721346,-122.533316,SMALL_CELL,73,2022-06-08,ACTIVE,WEST
